heuristic,rounds,rounds_count,rounds_IQR,rounds_MAD,rounds_tmean,duration_seconds,duration_seconds_count,duration_seconds_IQR,duration_seconds_MAD,duration_seconds_tmean,P1/MAX-max nodes,P1/MAX-max nodes_count,P1/MAX-max nodes_IQR,P1/MAX-max nodes_MAD,P1/MAX-max nodes_tmean,P1/MAX-max cutoffs,P1/MAX-max cutoffs_count,P1/MAX-max cutoffs_IQR,P1/MAX-max cutoffs_MAD,P1/MAX-max cutoffs_tmean,P1/MAX-max avgCutIdx,P1/MAX-max avgCutIdx_count,P1/MAX-max avgCutIdx_IQR,P1/MAX-max avgCutIdx_MAD,P1/MAX-max avgCutIdx_tmean,P1/MAX-max firstChildCut,P1/MAX-max firstChildCut_count,P1/MAX-max firstChildCut_IQR,P1/MAX-max firstChildCut_MAD,P1/MAX-max firstChildCut_tmean,P1/MAX-min nodes,P1/MAX-min nodes_count,P1/MAX-min nodes_IQR,P1/MAX-min nodes_MAD,P1/MAX-min nodes_tmean,P1/MAX-min cutoffs,P1/MAX-min cutoffs_count,P1/MAX-min cutoffs_IQR,P1/MAX-min cutoffs_MAD,P1/MAX-min cutoffs_tmean,P1/MAX-min avgCutIdx,P1/MAX-min avgCutIdx_count,P1/MAX-min avgCutIdx_IQR,P1/MAX-min avgCutIdx_MAD,P1/MAX-min avgCutIdx_tmean,P1/MAX-min firstChildCut,P1/MAX-min firstChildCut_count,P1/MAX-min firstChildCut_IQR,P1/MAX-min firstChildCut_MAD,P1/MAX-min firstChildCut_tmean,P2/MIN-max nodes,P2/MIN-max nodes_count,P2/MIN-max nodes_IQR,P2/MIN-max nodes_MAD,P2/MIN-max nodes_tmean,P2/MIN-max cutoffs,P2/MIN-max cutoffs_count,P2/MIN-max cutoffs_IQR,P2/MIN-max cutoffs_MAD,P2/MIN-max cutoffs_tmean,P2/MIN-max avgCutIdx,P2/MIN-max avgCutIdx_count,P2/MIN-max avgCutIdx_IQR,P2/MIN-max avgCutIdx_MAD,P2/MIN-max avgCutIdx_tmean,P2/MIN-max firstChildCut,P2/MIN-max firstChildCut_count,P2/MIN-max firstChildCut_IQR,P2/MIN-max firstChildCut_MAD,P2/MIN-max firstChildCut_tmean,P2/MIN-min nodes,P2/MIN-min nodes_count,P2/MIN-min nodes_IQR,P2/MIN-min nodes_MAD,P2/MIN-min nodes_tmean,P2/MIN-min cutoffs,P2/MIN-min cutoffs_count,P2/MIN-min cutoffs_IQR,P2/MIN-min cutoffs_MAD,P2/MIN-min cutoffs_tmean,P2/MIN-min avgCutIdx,P2/MIN-min avgCutIdx_count,P2/MIN-min avgCutIdx_IQR,P2/MIN-min avgCutIdx_MAD,P2/MIN-min avgCutIdx_tmean,P2/MIN-min firstChildCut,P2/MIN-min firstChildCut_count,P2/MIN-min firstChildCut_IQR,P2/MIN-min firstChildCut_MAD,P2/MIN-min firstChildCut_tmean,[Visited]lookups,[Visited]lookups_count,[Visited]lookups_IQR,[Visited]lookups_MAD,[Visited]lookups_tmean,[Visited]hits,[Visited]hits_count,[Visited]hits_IQR,[Visited]hits_MAD,[Visited]hits_tmean,[Visited]inserts,[Visited]inserts_count,[Visited]inserts_IQR,[Visited]inserts_MAD,[Visited]inserts_tmean,[Visited]hit_rate,[Visited]hit_rate_count,[Visited]hit_rate_IQR,[Visited]hit_rate_MAD,[Visited]hit_rate_tmean
A,29.0,1000,8.0,3.5,29.7275,0.5894904999999999,1000,0.21380025000000008,0.10838050000000002,0.57039213,5679.0,1000,1096.5,558.5,5648.99875,4404.5,1000,749.5,372.5,4390.10375,0.0731552,1000,0.016077999999999995,0.008302749999999998,0.07254288824999999,95.62960000000001,1000,0.8539499999999975,0.443400000000004,95.627075375,2353.5,1000,531.25,266.0,2333.52,1000.5,1000,278.0,139.5,1002.17875,0.08155114999999999,1000,0.03743065000000001,0.018636049999999994,0.08203866399999998,93.7146,1000,2.8830000000000098,1.4468500000000049,93.688185125,3474.0,1000,1607.0,793.5,3602.0825,1712.5,1000,940.25,467.0,1757.5,0.23045300000000002,1000,0.38659350000000003,0.11612050000000002,0.31973263625000004,83.6431,1000,23.4931,8.61535,79.340420875,8875.0,1000,3943.0,1990.0,8968.8575,6368.0,1000,2570.75,1273.0,6607.50625,0.08443320000000001,1000,0.30959485000000003,0.040512800000000015,0.1818827775,94.64015,1000,17.441399999999987,2.553149999999995,89.403985125,43895.0,1000,17311.5,9243.5,42664.045,1869.0,1000,1044.75,525.0,1865.395,41883.5,1000,16436.0,8549.0,40871.9125,4.30819,1000,0.7726724999999997,0.3821650000000001,4.329115175
B,30.0,1000,11.0,6.0,29.23,0.525915,1000,0.24660800000000005,0.1046435,0.55770947375,5191.5,1000,1624.75,812.5,5206.5125,3262.5,1000,907.75,457.0,3301.6675,0.04529225,1000,0.024928425000000004,0.010996599999999999,0.050121405375000004,96.72525,1000,1.305800000000005,0.6174500000000052,96.618485125,2665.0,1000,911.75,456.5,2635.42,1509.5,1000,614.25,305.5,1491.795,0.2669455,1000,0.18130925000000003,0.04617400000000001,0.32118197375,82.8171,1000,9.05087499999999,2.8309499999999943,80.209314,3281.5,1000,1460.75,720.5,3361.67375,1633.0,1000,791.5,394.0,1669.2725,0.2425,1000,0.37085575000000004,0.13561849999999998,0.32675670124999995,83.45439999999999,1000,22.666075000000006,8.841800000000006,79.0062425,8082.5,1000,3596.25,1833.5,8316.74,5964.5,1000,2400.5,1202.5,6092.3775,0.09494235000000001,1000,0.34685702500000004,0.055693450000000005,0.19480146650000002,94.1805,1000,19.351025000000007,3.2150999999999996,88.6688495,40649.0,1000,20446.75,8331.5,42949.16625,1695.5,1000,1344.25,534.0,1916.31,39128.0,1000,18947.5,7915.5,41099.755,4.2972,1000,1.0060449999999994,0.4708450000000002,4.3616275625
C,30.0,1000,8.0,4.0,29.53,0.5498545,1000,0.22915600000000003,0.11540099999999998,0.5803115637499999,5660.5,1000,1130.75,561.0,5722.72875,3971.0,1000,667.0,338.5,3993.29125,0.05981395,1000,0.014684150000000007,0.007213550000000003,0.05881362525,96.47625,1000,0.8481499999999897,0.4259500000000003,96.48563412499999,2704.5,1000,746.25,344.5,2637.28375,1395.5,1000,391.25,191.5,1368.1875,0.1881135,1000,0.09469450000000001,0.026144499999999987,0.2062057025,88.0426,1000,5.506625,1.6520999999999972,86.75775087500001,3306.5,1000,1614.25,737.5,3545.73125,1629.0,1000,929.25,442.5,1770.8725,0.236999,1000,0.37134600000000006,0.141521,0.32203251362499996,83.19315,1000,22.227824999999996,9.769199999999998,79.074189,8068.5,1000,3874.0,1858.5,8660.87125,6063.5,1000,2443.75,1079.5,6308.42,0.09722254999999999,1000,0.320260725,0.06201224999999999,0.18752364262500001,94.11115000000001,1000,17.522724999999994,3.53629999999999,89.216384125,40940.0,1000,18524.75,9726.0,44043.5925,1753.0,1000,1125.0,566.0,1883.79875,39383.5,1000,17747.75,9106.5,42219.065,4.1742550000000005,1000,0.6353949999999995,0.3162050000000005,4.1918184875
D,28.0,1000,12.0,5.0,27.33625,0.5286660000000001,1000,0.19486375000000006,0.09582150000000009,0.5449693625,5471.0,1000,1524.0,757.5,5597.85125,3894.5,1000,1017.0,518.0,3907.79625,0.0863655,1000,0.018266825,0.008375600000000004,0.08743606675,94.6346,1000,1.3286000000000087,0.6343000000000032,94.56161225,2499.5,1000,850.75,430.5,2520.57,1327.0,1000,502.25,249.5,1286.03125,0.218058,1000,0.10122924999999999,0.031032500000000005,0.24057055500000002,85.96025,1000,6.0946,2.3074000000000012,84.589437125,3211.5,1000,1435.0,541.5,3367.26375,1577.5,1000,763.75,357.5,1686.0875,0.230967,1000,0.36360275000000003,0.1193575,0.32086670500000003,83.46805,1000,21.902124999999998,9.022300000000001,79.111434875,8006.5,1000,2975.0,1528.0,8151.12875,5895.0,1000,1938.5,971.0,5928.2275,0.0886541,1000,0.325876775,0.053482299999999997,0.189763443875,94.42665,1000,17.934624999999997,3.22440000000001,89.132028375,40669.0,1000,17334.25,8542.0,41798.0925,1718.0,1000,1039.25,474.0,1804.33625,39073.5,1000,16197.75,8104.5,40068.1725,4.25892,1000,0.6429400000000003,0.3232849999999998,4.245926262499999
E,29.0,1000,12.0,6.0,29.59,0.7286055,1000,0.23337074999999996,0.10723000000000005,0.75467339875,9922.5,1000,1742.5,875.5,9934.245,6946.0,1000,1201.75,609.5,6925.19875,0.44175050000000005,1000,0.09139249999999999,0.044318499999999955,0.44520345499999997,74.37205,1000,5.135875000000013,2.537300000000002,74.26302150000001,3836.0,1000,711.25,359.5,3812.8825,1963.0,1000,420.0,211.5,1960.29,0.43773,1000,0.195795,0.0594915,0.4706034724999999,72.04095,1000,9.657499999999985,4.016550000000002,71.270748375,3279.0,1000,1480.5,620.0,3512.8275,1682.5,1000,841.5,431.5,1791.20625,0.21918100000000001,1000,0.372055,0.0917445,0.3199284925,84.42815,1000,22.280550000000005,7.561949999999996,79.210683,7867.5,1000,4357.5,1852.0,8424.465,5831.5,1000,2857.25,1339.0,6100.2325,0.07743159999999999,1000,0.351198225,0.042621049999999994,0.18895750025,95.20054999999999,1000,19.389100000000013,2.4371500000000097,89.199004375,57754.5,1000,21483.5,8975.0,60408.89875,2779.0,1000,1279.25,669.5,2933.33375,55122.5,1000,20134.25,8372.0,57574.135,4.86426,1000,0.6038399999999999,0.28203500000000004,4.833715325
F,28.0,1000,12.0,5.0,27.5575,0.7153754999999999,1000,0.22494900000000007,0.08215799999999995,0.745153435,9835.5,1000,2076.75,1016.5,9763.60375,6837.0,1000,1411.5,670.0,6775.62375,0.4708795,1000,0.10418775000000002,0.04920949999999996,0.47900851125000005,72.2666,1000,5.737649999999988,2.897750000000009,72.24013074999999,3821.0,1000,773.0,377.5,3747.0575,1940.5,1000,456.25,232.5,1912.59625,0.465657,1000,0.17014624999999994,0.05911549999999999,0.492477565,71.02510000000001,1000,8.433275000000009,3.5421499999999924,70.06446712500001,3176.5,1000,1523.0,532.0,3378.915,1613.0,1000,917.25,428.0,1720.69125,0.2194915,1000,0.37403600000000004,0.107735,0.316792145,84.48355,1000,23.304825000000008,8.17755000000001,79.423501875,7743.5,1000,4193.5,1843.0,8124.13,5726.5,1000,2797.5,1266.0,5867.71,0.07986655,1000,0.346106775,0.046515299999999996,0.18938284250000004,94.9186,1000,19.141500000000008,2.788800000000002,89.18630237500001,56113.5,1000,21078.75,7004.0,58866.6725,2752.0,1000,1391.0,509.0,2935.3975,53526.0,1000,19784.75,6637.0,56028.80375,4.973395,1000,0.6695774999999999,0.33636500000000025,4.958076225
G,29.0,1000,12.0,6.0,27.11625,0.534693,1000,0.20290625,0.09026149999999997,0.5586433425,5792.5,1000,1293.75,656.0,5808.875,4121.0,1000,1028.75,511.0,4134.135,0.08959465,1000,0.0347905,0.015345650000000002,0.09309574487500001,94.2435,1000,1.9847500000000053,0.9814000000000007,94.20427775,2439.5,1000,604.0,293.5,2499.73,1223.0,1000,403.0,201.0,1221.50125,0.257989,1000,0.09265825,0.034926,0.27115409375,82.61615,1000,5.5229499999999945,2.2870499999999936,81.867512625,3223.0,1000,1373.0,644.5,3417.40625,1711.0,1000,716.0,367.0,1749.5225,0.2207225,1000,0.3534332499999999,0.108676,0.31513522250000003,84.88810000000001,1000,21.143349999999998,7.362249999999989,79.601514,7727.5,1000,3596.5,1660.0,8137.4825,5653.5,1000,2461.75,1186.5,5864.15125,0.0893857,1000,0.350124975,0.05077215,0.190908880125,94.3344,1000,18.668700000000015,3.1531999999999982,89.107939,40880.5,1000,18163.25,8519.0,42923.5825,1691.0,1000,1212.0,485.0,1894.87375,39300.5,1000,16917.5,8077.5,41097.4125,4.295725,1000,1.0280174999999998,0.5198500000000001,4.333184962500001
H,29.0,1000,11.0,5.0,29.73125,0.7643344999999999,1000,0.2227332500000001,0.11391800000000007,0.780718665,10391.0,1000,1981.25,1012.5,10504.7425,7313.5,1000,1212.75,586.5,7279.31625,0.39918050000000005,1000,0.07199524999999996,0.030940999999999996,0.41285438625,76.5384,1000,3.3955250000000063,1.6384000000000043,76.076246625,4047.0,1000,659.0,335.5,4030.87125,2054.5,1000,441.75,223.0,2045.26,0.464653,1000,0.1773535,0.067524,0.48653003999999994,69.8003,1000,7.340999999999994,3.7259500000000045,69.336519375,3360.5,1000,1504.75,713.0,3598.14875,1797.0,1000,889.0,436.0,1850.24625,0.2140395,1000,0.38559724999999995,0.084446,0.31925247500000004,84.83435,1000,23.446774999999988,7.020699999999998,79.285834875,7896.5,1000,4526.5,1872.5,8569.61375,5775.0,1000,3107.25,1372.5,6175.24625,0.07560929999999999,1000,0.354752675,0.04340299999999999,0.188142125,95.18325,1000,19.312475000000006,2.4945999999999984,89.243078875,60935.0,1000,20768.75,9734.0,62712.3075,2899.5,1000,1328.0,699.5,3124.61,58236.0,1000,19251.75,9248.5,59707.3725,5.025165,1000,0.6669225000000001,0.3039849999999995,4.963985312499999
I,28.0,1000,10.0,5.0,28.00375,0.739017,1000,0.24385250000000003,0.10737350000000001,0.75829095625,10153.0,1000,2171.75,1080.0,10275.11875,7130.5,1000,1288.5,658.5,7081.99,0.431368,1000,0.10464724999999997,0.04275900000000002,0.44680617375,74.39505,1000,5.348400000000012,2.339100000000002,73.9795885,3902.0,1000,729.25,370.0,3923.72625,1939.0,1000,463.0,231.5,1969.34375,0.496004,1000,0.15704249999999997,0.07200199999999998,0.51710350375,67.699,1000,7.6152000000000015,3.7799999999999976,67.63403674999999,3163.5,1000,1490.0,515.0,3414.8175,1671.0,1000,833.25,406.0,1743.34125,0.2143985,1000,0.36982175000000006,0.09809599999999999,0.31605011499999996,84.682,1000,23.44475,7.41845,79.405831875,7549.5,1000,4250.0,1674.0,8177.13875,5647.5,1000,2875.25,1199.5,5901.585,0.07599675,1000,0.343709475,0.043141700000000005,0.18793027100000004,95.23949999999999,1000,19.044475000000006,2.4665999999999997,89.22583162500001,58766.0,1000,20803.25,8455.5,60525.38625,2850.5,1000,1348.5,578.5,3082.45375,56020.5,1000,19506.25,8085.5,57544.62625,5.106705,1000,0.7235599999999991,0.3566150000000001,5.061898287499999
J,29.0,1000,10.0,5.0,28.425,0.541738,1000,0.24494799999999994,0.10716300000000004,0.57236834,5945.5,1000,1074.5,541.0,5982.80125,4167.0,1000,803.5,387.0,4240.82625,0.059629,1000,0.024040699999999998,0.0092444,0.063749790625,96.41145,1000,1.483425000000011,0.4632999999999967,96.13268775,2551.5,1000,752.75,324.5,2621.21125,1300.0,1000,488.75,247.0,1312.355,0.2206225,1000,0.05981750000000002,0.022051,0.23388990875000001,84.80685,1000,4.074225000000013,1.5542999999999978,83.98439275000001,3341.5,1000,1524.0,720.5,3540.56125,1749.5,1000,828.25,411.5,1802.5725,0.2192015,1000,0.369419,0.12487295,0.318547044125,84.9871,1000,22.42372500000002,8.161999999999999,79.49871475,7789.0,1000,4094.25,1762.5,8513.02,5787.5,1000,2601.25,1200.5,6168.3,0.0855904,1000,0.33915617500000006,0.049294649999999995,0.18645965162499997,94.57130000000001,1000,18.348974999999996,3.0199499999999944,89.33238462500002,41645.0,1000,20987.5,8825.5,44605.0725,1700.0,1000,1308.25,530.5,1931.73375,40094.0,1000,19699.5,8251.5,42723.75,4.16996,1000,0.9961399999999996,0.4957100000000001,4.23461985
